Sklep;Kierowca;Kolejnosc;Zapotrzebowanie;Miasto;Uwagi;ile_m3
Z³otów;Kierowca F;1;3.05;1;;
Ciechanów;Kierowca M2;2;5.75;10;hotel;
Ostrów Mazowiecka;Kierowca M2;3;10.47;38;hotel;
Przasnysz;Kierowca M1;2;2.85;41;hotel;
Ostro³êka;Kierowca M1;3;11.37;37;hotel;
£om¿a;Kierowca M1;4;8.25;32;hotel;
Nidzica;Kierowca M1;1;4.72;34;hotel;
Sierpc;Kierowca M2;1;8.41;46;hotel;
Golub-Dobrzyñ;brak;;3.74;19;;
Rypin;brak;;8.07;44;;
Brodnica (Kaufland);brak;;2.4;4;;
Brodnica 3;brak;;3.69;4;;
Che³mno;Kierowca M14;3;10.32;6;;
Œwiecie;Kierowca M14;1;8.58;58;;
Œwiecie 2;Kierowca M14;2;9.03;58;;
Grudzi¹dz;Kierowca M3;1;7.57;20;;
Kwidzyn;Kierowca M3;2;8.87;28;;
Malbork;Kierowca M3;3;6.07;33;skutery;3
Sêpólno;brak;;5.34;45;;
Tuchola;brak;;6.42;63;;
Elbl¹g;brak;;2.17;15;;
Elbl¹g 2;brak;;6.56;15;;
Starogard Gd. 1;Kierowca MD2;1;10.6;51;;
Starogard Gd. 3;Kierowca MD2;2;11.12;51;;
Tczew 1;Kierowca MD2;3;4.29;60;;
Tczew 2;Kierowca MD2;4;4.43;60;;
Czersk;Kierowca M5;3;8.8;12;;
Chojnice 3;Kierowca M5;1;6.44;8;;
Chojnice rynek;Kierowca M5;2;11.31;8;;
Koœcierzyna 1;brak;;10.24;26;;
Koœcierzyna 2;brak;;9.33;26;;
Cz³uchów;Kierowca I;1;11.08;13;;
Wejherowo;brak;;10.99;66;;
Wejherowo 2;brak;;9.31;66;;
Lêbork;Kierowca MD5;3;5.5;29;;
Lêbork 2;Kierowca MD5;2;9.49;29;;
Bytów;Kierowca MD5;1;6.05;5;;
S³upsk;Kierowca MD5;4;3.77;49;;
S³upsk 2;Kierowca MD5;5;7.09;49;;
Ko³obrzeg;Kierowca M4;4;7.96;24;;
Bia³ogard;Kierowca M4;3;4.03;3;;
Szczecinek 1;Kierowca M4;2;3.24;54;;
Szczecinek 3;Kierowca M4;1;11.16;54;;
Œwidwin;Kierowca MD4;3;8.87;56;;
Œwidwin 2;Kierowca MD4;4;8.77;56;;
Gryfice;Kierowca MD1;3;10.74;21;;
£obez;Kierowca MD4;2;10.36;31;;
Œwinoujœcie;Kierowca MD1;1;3.91;59;skutery;3
Œwinoujœcie 2;Kierowca MD1;2;3.51;59;;
Nowogard;Kierowca MD1;4;10.51;35;;
Z³ocieniec;Kierowca MD4;1;4.26;71;;
Drawsko;brak;;11.08;14;;
Goleniów;brak;;2.74;18;;
Gryfino;brak;;5.08;22;;
Stargard Szczeciñski;Kierowca M7;1;11.26;50;;
Stargard Szczeciñski 2;Kierowca M7;2;7.05;50;;
Stargard Szczeciñski 3;Kierowca M7;3;9.59;50;;
Choszczno;Kierowca M9;2;2.45;9;skutery;1.5
Pyrzyce;Kierowca M9;3;10.92;42;;
Wa³cz Agroma;Kierowca M9;1;5;64;;
Barlinek;Kierowca M9;4;4.46;2;;
Kostrzyn;brak;;4.26;25;;
S³ubice;brak;;7.96;47;;
Sulêcin;brak;;5.46;52;;
Trzcianka;Kierowca VW2;1;2.04;62;;
Pi³a 4;Kierowca VW1;1;3.94;39;;
Pi³a Galeria Kasztanowa;Kierowca VW1;2;3.5;39;;
Œwiebodzin;brak;;6.91;57;;
Czarnków;Kierowca VW2;2;2.36;11;;
Nowy Tomyœl;brak;;4.71;36;;
Wolsztyn;Kierowca M10;2;10.81;69;;
Szamotu³y;brak;;7.41;53;;
Chodzie¿;Kierowca VW2;3;5.01;7;;
Poznañ Malta;Kierowca M10;1;12.34;40;;
Wrzeœnia;Kierowca MN1;2;9.03;70;;
Œroda Wielkopolska;Kierowca MN1;3;4.28;55;;
W¹growiec;Kierowca M11;1;4.62;65;pierwszy;
Gniezno;Kierowca M11;3;2.82;17;;
Gniezno 2;Kierowca M11;2;7.37;17;;
S³upca;Kierowca M11;4;9.03;48;;
Witkowo;Kierowca MN1;1;10.37;67;;
Kruszwica;Kierowca M13;3;8.41;27;;
Inowroc³aw;Kierowca M13;1;8.61;23;;
Inowroc³aw 2;Kierowca M13;2;2.02;23;odtowarowanie;
Radziejów;Kierowca M13;4;7.95;43;;
W³oc³awek 1;Kierowca M12;1;10.12;68;;
W³oc³awek 2;Kierowca M12;2;10.5;68;;
Gniewkowo;brak;;4.56;16;;
Lipno;Kierowca M12;3;5.52;30;;
Toruñ;brak;;4.2;61;;
