Podsumowanie;Wartosc;Jednostka
Liczba odwiedzonych sklepow:;67
Liczba kierowcow:;22
Laczna dlugosc trasy:;7646;km
Srednia dlugosc trasy:;347;km
Laczne wypelnienie samochodow:;491.37999999999994;m3
Srednie wypelnienie [%]:;86.81625441696112%
Szacowany laczny czas pracy kierowcow:;214.33000254631042;h
Liczba odwiedzonych sklepow:;67
Liczba kierowcow:;21
Laczna dlugosc trasy:;7150;km
Srednia dlugosc trasy:;340;km
Laczne wypelnienie samochodow:;491.38;m3
Srednie wypelnienie [%]:;92.36466165413533%
Szacowany laczny czas pracy kierowcow:;204.40000200271606;h
