Malowanie;10;13;15;18;24
Rama;80;99;128;138;148
Widelec;72;89;117;142;171
Komplet sterowy;12;15;21;24;28
Kierownica;15;20;22;25;40
Chwyty;2;3;5;7;9
Wspornik kierownicy;8;11;13;14;16
Wspornik siodla;15;16;17;18;23
Siodlo;5;7;10;15;20
Pedaly;15;18;22;26;29
Podporka;5;6;9;12;14
Manetki;31;38;43;48;55
Przerzutka przednia;32;54;83;96;120
Przerzutka tylna;35;64;84;125;143
Hamulce;20;76;109;130;157
Dzwignie hamulca;10;14;16;20;25
Kaseta;31;42;48;51;59
Lancuch;10;15;17;20;25
Mechanizm korbowy;30;42;46;59;65
Obrecze;17;30;48;62;76
Piasty;20;21;25;34;45
Szprychy;5;7;9;11;15
Opony;15;22;31;36;55
Detki;6;8;11;12;15
